name,lat,lon
ALGO,45.955800271515976,-78.07136699301411
ARAU,6.450158697203299,100.27973827546987
BABH,5.146659192249294,100.49366227220888
BAKO,-6.491054237618072,106.84890960605044
BANT,2.82595632946701,101.53735181108584
BEHR,3.7653704143857576,101.51721249680635
BINT,3.261507175648187,113.06721970010467
BKPL,5.3389861577214734,100.21836136751175
BNKK,13.668435128423335,100.60665552458673
COCO,-12.188348835658967,96.83396798436837
DARW,-12.843706501647688,131.13273824285446
DGAR,-7.269685284169788,72.37023886644279
FAIR,64.97800072066983,-147.4992390204664
GETI,6.226192606714493,102.1054632515947
GMUS,4.862974461633606,101.96379513419068
GOLD,35.425156128686666,-116.88924929666882
GRIK,5.439012377994351,101.13027626419876
GUAM,13.589329307511175,144.86836140042524
HYDE,17.41725795221372,78.55086871549358
IISC,13.021164407996784,77.570373725019
IPOH,4.588471422201009,101.12617695404697
JHJY,1.5368104348410196,103.79653191451128
JUIP,4.600403889141998,101.09059932069614
JUML,2.211754478315107,102.25609872987123
KARR,-20.981433050981526,117.09718920527193
KERG,-49.35146664852817,70.25552161482634
KINA,5.904604218108926,116.039298276372
KKBH,3.5607136932305554,101.65864483997187
KLAW,2.9815093045275147,102.06366771015709
KLUG,2.0253781401284945,103.31681259006372
KOKB,22.12626125404846,-159.66492486085755
KOSG,52.17842607478469,5.8096426902077765
KTPK,3.170944029905617,101.71760839372152
KUAL,5.318889565255337,103.13914597170633
KUAN,3.8343782676343294,103.35035261427596
KUCH,1.6323992440919304,110.19509114826832
KUKP,1.3332750844314094,103.45343325461384
KUNM,25.029539561907388,102.7971943064576
LABU,5.2826712754543115,115.24478659054013
LGKW,6.328502511686791,99.8512632098503
LHAS,29.65734014852442,91.10398839334695
MARG,5.026600290634887,103.29455908775074
MERS,2.453467282608421,103.82875267596768
MERU,3.138236742075827,101.40745743673689
MIRI,4.372101171833295,114.00174200140818
MKEA,19.801352275672976,-155.45633710417246
NTUS,1.3458023439548181,103.67995607915114
ONSA,57.39529822813077,11.925516001987715
PEKN,3.4925974812389184,103.38969141542242
PERT,-31.80196837147178,115.88524874512079
PHKT,8.104827540402436,98.30802518572442
PIMO,14.635719561945008,121.0777329882325
PUPK,4.20699397356342,100.55924389608651
RTPJ,6.003362805784588,101.99146620206604
RTSD,13.760308731139478,100.50741040426593
RYNG,12.76441860388028,101.03279955982303
SAMP,3.6216112934074225,98.71471825219027
SAND,5.842404376203732,118.12058400058449
SEGA,2.4862974348301368,102.73204188758831
SELM,5.2171313750866295,100.69477960190824
SGPT,5.643577679271172,100.48837662615861
SHAO,31.09964317420265,121.20044261370397
TAWX,4.26277474364975,117.8816475852604
TGPG,1.3674107841064829,104.10825970653958
TIDB,-35.39920663287695,148.97999738774092
TLOH,3.4494503252151114,102.41936600618905
TNML,24.797954748303113,120.98734463326433
UMAS,1.468309817109137,110.42469823562242
UMSS,6.039232828437328,116.11203032783375
UPMS,2.993395704278404,101.72351081088473
USMP,5.357788242137322,100.30403793287965
UTMJ,1.5658149446576246,103.63956399729229
UUMK,6.4621822901816035,100.50633747916098
VILL,40.44359257306339,-3.9519802810088125
WATP,-0.8735553056925788,119.58705753506203
WUHN,30.531653334767267,114.35726039154594
YELL,62.48089438404425,-114.48069992838327
