VAlat,VAlong,timestamp
-2.863516061686876e-15,-4.471518495885301e-15,915343200
4.539809389053168e-16,8.338220273065372e-15,918021600
-3.75515952227523e-15,1.6353824666332345e-14,920700000
2.831512457208492e-15,-6.565240844695448e-16,923378400
-3.0127092782511397e-15,8.045786787613983e-17,926056800
-2.3490518296739632e-15,5.533457317811203e-15,928735200
-2.2288168635323195e-15,4.56698895932599e-16,931413600
2.3638160788181007e-15,7.352176477200767e-15,934092000
9.42525418959068e-15,-8.491688887489273e-15,936770400
2.3174850306645116e-14,1.7244530775986026e-14,939448800
3.845908212038964e-15,1.5489388491929155e-15,942127200
2.9761200533783764e-15,6.097999463182504e-15,944805600
1.0125081431803602e-14,4.68211353984789e-15,947484000
1.605226944956293e-15,6.568309597198087e-14,950162400
-5.170012042277794e-15,-1.1554533325483791e-15,952840800
1.0319892035398952e-15,3.1667045577340814e-15,955519200
6.072902707783771e-15,1.646341633628295e-14,958197600
-4.538137115206271e-15,4.352973757143357e-15,960876000
4.462700353783832e-15,-9.809995368551057e-15,963554400
-2.0390546929933795e-15,4.652652984313858e-15,966232800
8.336863022280941e-15,1.379555202407121e-15,968911200
2.5222667243844444e-15,1.4893462843185977e-14,971589600
6.2752429771457656e-15,1.3855198125312305e-15,974268000
-1.018048151629847e-14,1.5001700482284278e-14,976946400
5.771872201618909e-15,2.613284699991574e-15,979624800
-2.8588712451945394e-15,4.158123498778386e-15,982303200
-5.724466008927827e-15,7.379356627556626e-15,984981600
4.132786227269904e-15,8.53942760497805e-15,987660000
-4.1063895657789845e-15,2.0055022297788073e-15,990338400
4.635963835426773e-15,-5.832432573077841e-15,993016800
-1.2677638608506546e-14,1.1712915911151742e-14,995695200
2.948790151889398e-15,1.1845341157714587e-14,998373600
1.2436711529194028e-14,6.418410474905877e-16,1001052000
5.285516237945138e-15,1.2466238686282056e-14,1003730400
-2.239154080485602e-15,8.39814367893853e-15,1006408800
-7.645938659089965e-15,9.029885535848107e-15,1009087200
2.242924465961549e-15,6.460129228254155e-15,1011765600
-2.2737044629839016e-16,-9.935874173089972e-16,1014444000
-2.903640873621314e-15,2.2953037586404277e-14,1017122400
-1.354581570359412e-16,-6.776170524182841e-16,1019800800
-3.66161468504371e-15,-1.1296499195902386e-14,1022479200
4.24783835281329e-15,1.503498992624026e-14,1025157600
6.336141051887839e-15,-1.9574954769531466e-15,1027836000
5.729720225660788e-15,1.0231041286243914e-14,1030514400
1.087000526259399e-14,6.578748894341583e-15,1033192800
-1.2434488752432112e-14,7.588397522260377e-15,1035871200
2.605708743939651e-15,-1.8315523780041913e-15,1038549600
-3.39387687799166e-15,1.2449845211007051e-14,1041228000
2.1752131994444797e-15,3.124359082176857e-15,1043906400
3.6000530769563407e-16,-6.606582775349043e-16,1046584800
-1.9423777693252027e-15,3.597796909363179e-15,1049263200
-3.5207316364016323e-15,9.19192693992858e-16,1051941600
-3.2747299561235503e-16,5.27879824329894e-16,1054620000
-1.6508770241465449e-15,5.6556778590902336e-15,1057298400
2.3405085394278953e-15,1.73515665492711e-14,1059976800
1.0510700094885138e-15,5.649755580823744e-15,1062655200
2.0487961245586548e-15,-1.0523379631220443e-14,1065333600
1.784069405324127e-15,1.0970912769501545e-14,1068012000
9.271715215398871e-15,1.0119670663167256e-14,1070690400
1.3364816858128151e-15,8.869756922513002e-15,1073368800
2.4630400846714926e-15,-7.689349896612541e-17,1076047200
-1.6658640225301468e-15,8.223997359600442e-15,1078725600
6.645861974485251e-16,-2.416679864767742e-15,1081404000
4.6279228057337416e-15,-5.6849571937119695e-16,1084082400
