name,S_lat,S_lon,D_lat,D_lon
ALGO,45.95580011596349,-78.07136686649137,46.071547868679325,-78.04110561165608
ARAU,6.450158663124262,100.27973797024838,6.4558219263159975,100.16353835498516
BABH,5.146659192249294,100.49366227220888,4.867827707015073,100.93759144296585
BAKO,-6.491054121052562,106.84890925482179,-6.52519439832445,106.76667083608024
BANT,2.82595632946701,101.53735181108584,2.6711702132093773,101.94123385889168
BEHR,3.7653703766628124,101.51721244426717,3.7948737810490454,101.37765777244859
BINT,3.261507222141342,113.06721946899808,3.1474644202726787,112.91213617345926
BKPL,5.3389867529756545,100.21836209854246,4.9718368331757405,100.6459397624842
BNKK,13.668435136752354,100.60665539664564,13.68377469437647,100.54948779266164
COCO,-12.188350102805673,96.8339664146847,-11.898848017834313,96.56875677909873
DARW,-12.843707848474246,131.1327374081021,-11.752623709436556,130.4812467067155
DGAR,-7.26968607157707,72.37023774600512,-6.863327827856253,71.75401104966791
FAIR,64.97800087598732,-147.49923881784684,64.92663581977892,-147.45083329292515
GETI,6.226192633996059,102.10546302607337,6.18810234640534,102.06126945993343
GMUS,4.862974461633606,101.96379513419068,4.691902600290143,102.31556983955564
GOLD,35.425156128686666,-116.88924929666882,35.461420805281676,-116.82887769561717
GRIK,5.439012377994351,101.13027626419876,5.2134379335375405,101.52126354941356
GUAM,13.589329296289296,144.86836154728988,13.574393206590916,144.8510268909129
HYDE,17.417257579107545,78.55086828343157,17.47659435726516,78.50649849558773
IISC,13.021164084147264,77.57037339886443,13.074303688863798,77.46126750121454
IPOH,4.588471436065569,101.12617682454471,4.545135803649694,101.10276901019121
JHJY,1.5368104348410196,103.79653191451128,1.5230950758258435,103.90267857930242
JUIP,4.600403889141998,101.09059932069614,4.3035438545876845,101.45563024884724
JUML,2.211754478315107,102.25609872987123,2.143450709340953,102.50770218261012
KARR,-20.981433552702832,117.09718885896793,-20.792527573843266,116.91103592057063
KERG,-49.35146666048529,70.25552162994641,-49.39757352814245,70.14977389937427
KINA,5.9046044234138675,116.03929750828549,5.900152594508351,115.93396190671093
