name,S_lat,S_lon,D_lat,D_lon
ALGO,45.95580011596349,-78.07136686649137,46.032965284440714,-78.09154103638157
ARAU,6.450158663124262,100.27973797024838,6.453934171918752,100.35720438042385
BABH,5.146659192249294,100.49366227220888,4.96077153542648,100.19770949170423
BAKO,-6.491054121052562,106.84890925482179,-6.513814305900487,106.90373486731616
BANT,2.82595632946701,101.53735181108584,2.722765585295255,101.26809711254862
BEHR,3.7653703766628124,101.51721244426717,3.785039312920301,101.61024889214623
BINT,3.261507222141342,113.06721946899808,3.185478687562233,113.17060833269062
BKPL,5.3389867529756545,100.21836209854246,5.094220139775712,99.93331032258129
BNKK,13.668435136752354,100.60665539664564,13.678661508501765,100.64476713263497
COCO,-12.188350102805673,96.8339664146847,-11.995348712824766,97.01077283840867
DARW,-12.843707848474246,131.1327374081021,-12.116318422449119,131.56706454235982
DGAR,-7.26968607157707,72.37023774600512,-6.998780575763192,72.78105554356326
FAIR,64.97800087598732,-147.49923881784684,64.94375750518172,-147.53150916779464
GETI,6.226192633996059,102.10546302607337,6.20079910893558,102.13492540349999
GMUS,4.862974461633606,101.96379513419068,4.748926554071297,101.72927866394737
GOLD,35.425156128686666,-116.88924929666882,35.449332579750006,-116.92949703070326
GRIK,5.439012377994351,101.13027626419876,5.288629415023144,100.86961807405555
GUAM,13.589329296289296,144.86836154728988,13.579371903157043,144.87991798487454
HYDE,17.417257579107545,78.55086828343157,17.456815431212622,78.58044814199413
IISC,13.021164084147264,77.57037339886443,13.05659048729162,77.64311066396436
IPOH,4.588471436065569,101.12617682454471,4.559581014454985,101.14178203411372
JHJY,1.5368104348410196,103.79653191451128,1.5276668621642355,103.72576747131718
JUIP,4.600403889141998,101.09059932069614,4.402497199439122,100.84724536859541
JUML,2.211754478315107,102.25609872987123,2.166218632332338,102.08836309471197
KARR,-20.981433552702832,117.09718885896793,-20.85549623346312,117.22129081789946
KERG,-49.35146666048529,70.25552162994641,-49.38220457225673,70.32602011699451
KINA,5.9046044234138675,116.03929750828549,5.901636537476857,116.10952124266852
KKBH,3.5607136932305554,101.65864483997187,3.457934051322143,101.44324384515333
KLAW,2.9815093045275147,102.06366771015709,2.8964238953647707,101.85504997551433
KLUG,2.0253781401284945,103.31681259006372,1.9979687173969998,103.19916497397016
KOKB,22.126260917916174,-159.6649242732683,22.16822993639892,-159.76020146029714
KOSG,52.17842593248822,5.809642439401151,52.201041235895964,5.815310895328017
KTPK,3.170943989295806,101.71760825091818,3.1388359881490815,101.72059409360239
KUAL,5.318889585901158,103.1391457348444,5.283723636637487,103.23398436779131
KUAN,3.834378280243932,103.35035240010127,3.8098269930184827,103.41238966609224
