name,lat,lon
ALGO,45.95580011596349,-78.07136686649137
ARAU,6.450158663124262,100.27973797024838
BABH,5.146659192249294,100.49366227220888
BAKO,-6.491054121052562,106.84890925482179
BANT,2.82595632946701,101.53735181108584
BEHR,3.7653703766628124,101.51721244426717
BINT,3.261507222141342,113.06721946899808
BKPL,5.3389867529756545,100.21836209854246
BNKK,13.668435136752354,100.60665539664564
COCO,-12.188350102805673,96.8339664146847
DARW,-12.843707848474246,131.1327374081021
DGAR,-7.26968607157707,72.37023774600512
FAIR,64.97800087598732,-147.49923881784684
GETI,6.226192633996059,102.10546302607337
GMUS,4.862974461633606,101.96379513419068
GOLD,35.425156128686666,-116.88924929666882
GRIK,5.439012377994351,101.13027626419876
GUAM,13.589329296289296,144.86836154728988
HYDE,17.417257579107545,78.55086828343157
IISC,13.021164084147264,77.57037339886443
IPOH,4.588471436065569,101.12617682454471
JHJY,1.5368104348410196,103.79653191451128
JUIP,4.600403889141998,101.09059932069614
JUML,2.211754478315107,102.25609872987123
KARR,-20.981433552702832,117.09718885896793
KERG,-49.35146666048529,70.25552162994641
KINA,5.9046044234138675,116.03929750828549
KKBH,3.5607136932305554,101.65864483997187
KLAW,2.9815093045275147,102.06366771015709
KLUG,2.0253781401284945,103.31681259006372
KOKB,22.126260917916174,-159.6649242732683
KOSG,52.17842593248822,5.809642439401151
KTPK,3.170943989295806,101.71760825091818
KUAL,5.318889585901158,103.1391457348444
KUAN,3.834378280243932,103.35035240010127
KUCH,1.6323993472274938,110.19509089740242
KUKP,1.3332750844314094,103.45343325461384
KUNM,25.029539864626614,102.79719375445967
LABU,5.282671345533685,115.2447864066798
LGKW,6.328502511686791,99.8512632098503
LHAS,29.657339902352682,91.10398769207323
MARG,5.026600290634887,103.29455908775074
MERS,2.453467282608421,103.82875267596768
MERU,3.138236742075827,101.40745743673689
MIRI,4.372101202958082,114.00174187003238
MKEA,19.80135201283133,-155.45633662016425
NTUS,1.3458023800165184,103.67995585745413
ONSA,57.39529810898711,11.925515698034276
PEKN,3.4925974812389184,103.38969141542242
PERT,-31.80196888356758,115.88524832916158
PHKT,8.104827592533669,98.3080250532019
PIMO,14.635719520139597,121.07773328639549
PUPK,4.20699397356342,100.55924389608651
RTPJ,6.00336306147416,101.99146666074775
RTSD,13.760308747532038,100.50741040218027
RYNG,12.764419356413613,101.03280022120698
SAMP,3.6216112934074225,98.71471825219027
SAND,5.8424045771927675,118.12058360720964
SEGA,2.486297495456256,102.7320416969729
SELM,5.2171313750866295,100.69477960190824
SGPT,5.643577679271172,100.48837662615861
SHAO,31.099643288848313,121.20044228631184
TAWX,4.262774946117503,117.88164735136301
TGPG,1.3674107841064829,104.10825970653958
TIDB,-35.39920663287695,148.97999738774092
TLOH,3.4494503252151114,102.41936600618905
TNML,24.797954748303113,120.98734463326433
UMAS,1.468309817109137,110.42469823562242
UMSS,6.039233087495469,116.11202985396304
UPMS,2.993395704278404,101.72351081088473
USMP,5.3577881876433775,100.30403792007677
UTMJ,1.5658149661504863,103.63956371381234
UUMK,6.4621822901816035,100.50633747916098
VILL,40.44359241821777,-3.9519805583301735
WATP,-0.8735552974682371,119.58705735109946
WUHN,30.531653411798366,114.35726013472473
YELL,62.480894467921196,-114.48069958781312
